name,address,longitude,latitude,capacity,county,district,village,disaster_types,indoor,outdoor,suitable_for_vulnerable,manager,phone,risk_level,risk_distance
土城國中,永寧路18號,121.430192,24.962522,1384,新北市,新北市土城區,永寧里,"水災,震災,土石流,海嘯",True,False,True,劉明志,02-22675135-401,Medium Risk,0
沛陂市民活動中心,三民路23巷8弄9號,121.419474,24.963872,50,新北市,新北市土城區,沛陂里,"水災,震災,土石流",True,False,True,林阿城,02-22681535,Medium Risk,2000
及人高中,新北市新店區安興路1號,121.5149,24.9663,2774,新北市,新北市新店區,柴埕里,"水災,震災,土石流",True,True,False,吳英同,02-291122811209,Medium Risk,0
五峰國中,新北市新店區中興路一段253號,121.544,24.9664,1103,新北市,新北市新店區,五?里,"水災,震災,土石流",True,True,False,吳英同,02-29112281#1209,Low Risk,500
鳳鳴國中,鶯歌區永和街33號,121.3318,24.9671,527,新北市,新北市鶯歌區,鳳鳴里,"水災,震災,土石流,海嘯",True,True,False,楊祚榮,02-26780202,Low Risk,500
安康高中,新北市新店區安興路25號,121.5149,24.9688,1119,新北市,新北市新店區,柴埕里,"水災,震災,土石流",True,True,False,吳英同,02-29112281#1209,Medium Risk,500
鳳鳴國小,鶯歌區永和街120號,121.3351,24.9691,342,新北市,新北市鶯歌區,鳳鳴里,"水災,震災,土石流,海嘯",True,True,True,楊祚榮,02-26780202,Low Risk,2000
育德國小,佳園路一段34號,121.392558,24.971116,484,新北市,新北市樹林區,中山里,"震災,土石流,海嘯",True,True,False,事務組長王心巧,26805557#131,High Risk,1000
中正國小,新北市新店區三民路３６號,121.5366,24.9717,1001,新北市,新北市新店區,中正里,"水災,震災,土石流",True,True,False,吳英同,02-29112281#1209,Medium Risk,2000
崇光女中,新北市新店區三民路18號,121.5391,24.9718,522,新北市,新北市新店區,中正里,"水災,震災,土石流",True,True,False,吳英同,02-29112281#1209,High Risk,0
土城國小,興城路17號,121.441935,24.972383,958,新北市,新北市土城區,埤塘里,"水災,震災,土石流,海嘯",True,True,True,趙麗玲,02-22700177-851,High Risk,2000
土城區公所,金城路1段101號7樓,121.442873,24.972533,162,新北市,新北市土城區,埤塘里,"水災,土石流,海嘯",True,True,True,楊麗涵,02-22732000-543,Medium Risk,0
泰平里活動中心,溪尾寮46號,121.827,24.9727,100,新北市,新北市雙溪區,泰平里,"水災,震災,土石流",True,False,False,宋翔怡,02-24931111#124,Low Risk,2000
山佳市民活動中心,中山路三段40號2樓,121.39436,24.972721,80,新北市,新北市樹林區,中山里,"水災,震災,土石流,海嘯",True,False,False,游文瑩,02-26812106#1615,High Risk,1000
中湖里活動中心,中湖街25號,121.3481,24.973,119,新北市,新北市鶯歌區,中湖里,"水災,震災,土石流,海嘯",True,False,False,楊祚榮,02-26780202,Medium Risk,0
中湖國小,中湖街25號,121.3481,24.973,465,新北市,新北市鶯歌區,中湖里,"水災,震災,土石流,海嘯",True,True,False,楊祚榮,02-26780202,High Risk,500
北新國小　,新北市新店區寶橋路8號,121.5439,24.9737,1737,新北市,新北市新店區,新安里,"水災,震災,土石流",True,True,False,吳英同,02-29112281#1209,High Risk,500
清化市民活動中心,青雲路368號4樓,121.458661,24.973802,30,新北市,新北市土城區,清和里,"水災,土石流",True,False,False,袁慧如,02-22615380,High Risk,2000
清和市民活動中心,青雲路368號1樓,121.458661,24.973802,30,新北市,新北市土城區,清和里,"水災,震災,土石流",True,False,True,張源寶,02-22745669,High Risk,500
樂山市民活動中心,中和街38號3樓,121.389871,24.973944,61,新北市,新北市樹林區,樂山里,"水災,震災,土石流",True,False,False,江翊榕,26812106#1617,Low Risk,0
新店高中,新北市新店區中央路93號,121.5318,24.9756,1307,新北市,新北市新店區,福民里,"水災,震災,土石流",True,True,False,吳英同,02-29112281#1209,High Risk,500
山佳國小,中山路三段5號,121.401678,24.975774,654,新北市,新北市樹林區,山佳里,"水災,震災,土石流,海嘯",True,True,False,事務組長林清輝,26806673轉831,High Risk,1000
耕莘健康管理專科學校,新北市新店區民族路112號,121.5355,24.9761,87,新北市,新北市新店區,百和里,"水災,震災,土石流",True,True,False,吳英同,02-29112281#1209,High Risk,1000
指南國小,文山區指南路3段38巷5-2號,121.5836,24.9764,20,臺北市,臺北市文山區,,"水災,震災",True,False,False,張心怡,02-29393546#21,Low Risk,2000
大豐社福館,新北市新店區民族路110號,121.5376,24.9769,1540,新北市,新北市新店區,大豐里,"水災,震災,土石流",True,False,False,吳英同,02-29112281#1209,High Risk,0
大豐國小,新北市新店區23143民族路108號,121.5382,24.9776,5794,新北市,新北市新店區,大豐里,"水災,震災,土石流",True,True,False,吳英同,02-29112281#1209,High Risk,1000
員林市民活動中心,員林街15號1樓,121.442984,24.978282,77,新北市,新北市土城區,員林里,"水災,震災,土石流",True,False,False,蔡黃地,02-22610593,Low Risk,1000
竹林中學,中和區華新街143巷12號,121.506,24.9799,430,新北市,新北市中和區,華新里,"水災,震災,土石流,海嘯",True,True,True,劉師政,02-22482688#286,Low Risk,0
開明工商,新北市新店區寶中路49號,121.5462,24.98,1945,新北市,新北市新店區,寶福里,"水災,震災,土石流",True,True,False,吳英同,02-29112281#1209,Low Risk,500
華梵大學于藝館3樓,華梵路1號,121.6921,24.98,100,新北市,新北市石碇區,豐田里,"水災,震災,土石流,海嘯",True,True,True,陳靜瑤/楊朝欽,02-26632102#2422/#2462,High Risk,500
青山市民活動中心,明德路1段74-1號1樓,121.464447,24.98031,18,新北市,新北市土城區,青山里,"水災,震災,土石流",True,False,True,姚韋華,02-22734192,Low Risk,2000
永富市民活動中心,明德路1段74-1號2樓,121.464447,24.98031,25,新北市,新北市土城區,青山里,"水災,土石流",True,False,False,黃思儀,02-22644813,Low Risk,500
景美女中,文山區木新路3段312號,121.5562,24.9807,300,臺北市,臺北市文山區,,"水災,震災",True,False,False,林宜德,02-29368847#201,High Risk,0
廷寮市民活動中心,永豐路240-1號,121.467199,24.980803,80,新北市,新北市土城區,廷寮里,"水災,震災,土石流,海嘯",True,False,True,洪焜猛,02-22626089,Low Risk,1000
南強工商,新北市新店區文化路42號,121.5448,24.9809,1132,新北市,新北市新店區,寶興里,"水災,震災,土石流,海嘯",True,True,False,吳英同,02-29112281#1209,High Risk,500
力行國小,文山區木新路3段155巷7號,121.561,24.9809,30,臺北市,臺北市文山區,,"水災,震災",True,False,True,吳阿理,02-29363995#821,Medium Risk,2000
大同國小,大同街43號,121.417421,24.981493,450,新北市,新北市樹林區,大同里,"水災,震災,土石流,海嘯",True,True,False,事務組長沈炳育,86865486轉842,Low Risk,500
東陽市民活動中心,鎮前街467號,121.410902,24.981593,78,新北市,新北市樹林區,樹東里,"震災,土石流,海嘯",True,False,False,何錦綢,02-26812106#1614,Medium Risk,0
彭福國小,忠孝街30號,121.42394,24.981755,1704,新北市,新北市樹林區,和平里,"水災,震災,土石流,海嘯",True,True,False,事務祖長王鴻萍,86866589#803,High Risk,2000
清水高中,明德路1段72號,121.465311,24.982013,1033,新北市,新北市土城區,永富里,"水災,震災,土石流,海嘯",True,True,True,林呈隆,02-22707801-400,Low Risk,500
華夏科技大學,中和區工專路111號,121.5076,24.9822,1447,新北市,新北市中和區,華新里,"水災,震災,土石流,海嘯",True,True,True,劉師政,02-22482688＃286,High Risk,2000
"青雲,柑林市民活動中心",清水路141巷18號B1,121.458501,24.98237,50,新北市,新北市土城區,青雲里,土石流,True,False,False,廖特青 張育誠,02-22659858 02-22736647,Medium Risk,0
裕德高中,擺接堡路1號,121.439585,24.982977,975,新北市,新北市土城區,日和里,"水災,震災,土石流,海嘯",True,True,True,簡嘉良,02-82617889-225,High Risk,1000
新北高工,學府路1段241號,121.45038,24.983308,2785,新北市,新北市土城區,學府里,"水災,震災,土石流,海嘯",True,True,True,洪儒,02-22612483-30,Low Risk,0
實踐國中,文山區辛亥路7段67號,121.5547,24.9834,300,臺北市,臺北市文山區,,"水災,震災",True,False,False,吳佳晉,02-22362852#150,Low Risk,0
中正國中,金城路2段247號,121.456842,24.983456,415,新北市,新北市土城區,青雲里,"水災,震災,土石流,海嘯",True,True,True,林碧文,02-22628456-815,Medium Risk,0
樹林高級中學,中華路8號,121.422804,24.983502,1404,新北市,新北市樹林區,和平里,"震災,土石流,海嘯",True,True,False,總務主任林浩吉,86852011#2112,High Risk,0
實踐國小,文山區忠順街1段4號,121.5575,24.9836,75,臺北市,臺北市文山區,,"水災,震災",True,False,False,蔡宗儒,02-29360725#140,Low Risk,1000
東昇市民活動中心,中山路二段80號2樓,121.415159,24.984222,214,新北市,新北市樹林區,東昇里,"水災,震災,土石流,海嘯",True,False,False,陳雅晴,02-268121061613,Medium Risk,1000
清水國小,金城路2段356號,121.461508,24.984402,597,新北市,新北市土城區,清溪里,"水災,震災,土石流,海嘯",True,True,True,劉員池,02-22618316-401,Low Risk,2000
新和國小,新店市安和路三段100號,121.5182,24.9846,648,新北市,新北市新店區,永安里,"水災,震災,土石流",True,True,False,吳英同,02-29112281#1209,Low Risk,500
北政國中,臺北市文山區指南路3段2巷14號,121.5783,24.9849,20,臺北市,臺北市文山區,,"水災,震災",True,False,False,陳友城,29393651#51,High Risk,1000
樂利國小,裕生路65號,121.447559,24.985602,1168,新北市,新北市土城區,日新里,"水災,震災,土石流,海嘯",True,True,True,李明憲,02-22662568-831,Low Risk,1000
莊敬工家,新北市新店區民生路45號,121.5322,24.9858,8362,新北市,新北市新店區,復興里,"水災,震災,土石流",True,False,False,吳英同,02-29112281#1209,High Risk,500
廣興市民活動中心,學府路一段99巷底2樓,121.457766,24.985909,50,新北市,新北市土城區,廣福里,"水災,土石流",True,False,False,張淑玲,02-22625088,Low Risk,1000
廣福市民活動中心,學府路一段99巷底1樓,121.457766,24.985909,50,新北市,新北市土城區,廣福里,"水災,震災,土石流",True,False,True,丁科秀,02-22629394,Medium Risk,0
育林國小,復興路395號,121.415677,24.986051,135,新北市,新北市樹林區,樹南里,"水災,震災,土石流,海嘯",True,True,False,事務組長 杜炳倫,26832112#303,Low Risk,0
育林國中,復興路395號,121.415677,24.986051,574,新北市,新北市樹林區,樹南里,"水災,震災,土石流,海嘯",True,True,False,事務組長潘怡娟,26841160#122,High Risk,500
中和國中,中和區興南路2段3巷17號,121.5085,24.9862,2649,新北市,新北市中和區,忠孝里,"水災,震災,土石流,海嘯",True,True,True,劉師政,02-22482688＃286,High Risk,2000
興南國小,中和區興南路1段135巷24號,121.5091,24.9867,1278,新北市,新北市中和區,忠孝里,"水災,震災,土石流,海嘯",True,True,True,劉師政,02-22482688#286,Medium Risk,2000
廣福國小,學府路1段127號,121.454896,24.986953,608,新北市,新北市土城區,廣福里,"水災,震災,土石流,海嘯",True,True,True,施杰翰,02-22626782-100,Low Risk,500
溪洲國小,金門街289號,121.4309,24.9873,1021,新北市,新北市板橋區,堂春里,"震災,土石流,海嘯",True,True,False,謝瀚頡組長,2686770551,Low Risk,500
明道國小,文山區木柵路2段138巷61號,121.5626,24.9874,42,臺北市,臺北市文山區,明義里,"水災,震災",True,False,False,莊文玲,02-29392821#14,Medium Risk,0
木柵國中,文山區木柵路3段102巷12號,121.5677,24.9875,30,臺北市,臺北市文山區,,"水災,震災",True,False,True,余鎮遠,02-29393031#600,Low Risk,2000
永建國小,文山區試院路2號,121.55,24.9876,30,臺北市,臺北市文山區,,"水災,震災",True,False,True,陳佳雯,02-22363855#125,Low Risk,1000
安和國小,延和路23號,121.464774,24.988807,2293,新北市,新北市土城區,安和里,"水災,震災,土石流,海嘯",True,True,True,黃富聰,02-22603451-131,High Risk,0
景新國小,中和區景新街467巷37號,121.515,24.9893,897,新北市,新北市中和區,景南里,"水災,震災,土石流,海嘯",True,True,True,劉師政,02-22482688＃286,Low Risk,500
景美國小,文山區景文街108號,121.5408,24.9895,74,臺北市,臺北市文山區,,"水災,震災",True,False,True,莊琬婷,02-29322151#130,Low Risk,2000
復興國小,中和區復興路301巷6號,121.5019,24.9896,946,新北市,新北市中和區,中興里,"水災,土石流,海嘯",True,True,False,劉師政,02-22482688＃286,Medium Risk,1000
行政中心大禮堂,臺北市木柵路3段220號10樓,121.5701,24.9896,60,臺北市,臺北市文山區,,"水災,震災",True,False,False,周如倩,29365522#324,Medium Risk,1000
沙崙國小,篤行路二段132號,121.4305,24.9897,1692,新北市,新北市板橋區,溪北里,震災,True,True,False,王亭雅組長,26812764832,High Risk,0
復興大樓圖書館,南山路236號6樓,121.5065,24.9897,25,新北市,新北市中和區,外南里,"水災,震災,土石流,海嘯",True,False,True,劉師政,02-22482688#286,Low Risk,2000
樹林區公所,鎮前街93號,121.424633,24.989981,215,新北市,新北市樹林區,樹東里,"水災,震災,土石流",True,False,True,社會人文課長 童冠璋,02-26812106#1606,Low Risk,2000
樹林國小,育英街176號,121.418101,24.99003,304,新北市,新北市樹林區,樹西里,"水災,震災,土石流,海嘯",True,True,False,事務組長黃奎瑋,26812014轉832,Low Risk,500
錦和國小,中和區圓通路292號,121.4893,24.9901,1173,新北市,新北市中和區,錦中里,"水災,震災,土石流,海嘯",True,True,True,劉師政,02-22482688#286,High Risk,2000
木柵國小,文山區木柵路3段191號,121.5702,24.9903,155,臺北市,臺北市文山區,,"水災,震災",True,False,False,林光媚,02-29391234#130,High Risk,2000
石碇國小,石碇西街15號,121.659,24.9903,109,新北市,新北市石碇區,石碇里,"水災,震災,土石流,海嘯",True,True,True,李炳坤/李玳辰,02-26631244#13/#29,Medium Risk,0
萬興國小,文山區秀明路2段114號,121.5766,24.9904,125,臺北市,臺北市文山區,萬興里,"水災,震災",True,False,True,錢宜黎,02-29381721#131,High Risk,2000
信義國小,四川路二段245巷60號,121.4528,24.9917,1024,新北市,新北市板橋區,華德里,震災,True,True,False,郭逸涵組長,89667817122,Low Risk,1000
錦和中學,中和區錦和路163號,121.4911,24.9925,2543,新北市,新北市中和區,錦中里,"水災,震災,土石流,海嘯",True,True,True,劉師政,02-22482688＃286,Low Risk,0
景美國中,文山區景中街27號,121.5429,24.993,80,臺北市,臺北市文山區,,"水災,震災",True,False,False,張光耀,02-89353130#501,High Risk,0
中和高中,中和區連城路460號,121.4783,24.994,2072,新北市,新北市中和區,嘉慶里,"水災,震災,土石流,海嘯",True,True,False,劉師政,02-22482688#286,Low Risk,500
溪口國小,文山區景福街225號,121.5387,24.9941,90,臺北市,臺北市文山區,,"水災,震災",True,False,True,劉家森,29350955＃715,Low Risk,2000
秀山國小,中和區立人街2號,121.5212,24.9942,4228,新北市,新北市中和區,秀山里,"水災,震災,土石流,海嘯",True,True,True,劉師政,02-22482688＃286,High Risk,500
重慶國小,廣和街31號,121.4624,24.9945,2135,新北市,新北市板橋區,五權里,"水災,震災,土石流,海嘯",True,True,False,方素英組長,29565592305,High Risk,1000
